"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
300819,"San Luis Obispo County, CA, USA","California, USA","United States","35.13487804, -120.64105788",land,,2023-10-05,,1,,1,0.504,0.35875690202005,0,,,4,,,1,2,,2,8,,,,,,6,,2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,28
301253,"San Luis Obispo County, CA, USA","California, USA","United States","35.4485844, -120.9057372",land,,2023-10-08,"Girl Scout Troop 45126",15,,15,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301715,"San Luis Obispo County, CA, USA","California, USA","United States","35.193809318693, -120.47063131674",land,freshwater,2023-09-23,"ECOSLO & County Parks",4,,4,13,2,0,3,4,10,,23,21,1,84,23,307,2,9,,,18,167,5,24,4,9,,,3,,,103,,48,2,,,,,,8,,32,23,,20,,,,,42,,,,,,,,,,,,,,,,,,992
301717,"San Luis Obispo County, CA, USA","California, USA","United States","35.17575861267, -120.7192042553",land,saltwater,2023-09-23,"ECOSLO & County Parks",28,,28,141,1,0,12,4,6,167,43,184,,125,32,610,6,4,10,2,14,84,20,9,6,5,,,3,1,6,6,1,,3,,3,,,8,17,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,1386
301718,"San Luis Obispo County, CA, USA","California, USA","United States","35.449225267539, -120.93307752923",land,saltwater,2023-09-23,"ECOSLO & County Parks",31,6,37,2458,4,0,18,5,25,22,21,54,,28,14,315,4,22,8,3,7,113,11,7,2,34,,,13,,,,1,12,1,,,,,3,24,,,,2,,1,,1,,483,,,,,,,,,,,,,,,,,,1236
301750,"San Luis Obispo County, CA, USA","California, USA","United States","35.13607669, -120.64120384",land,,2023-10-12,,1,,1,3.144,0.23983369862614,0,,,1,,1,1,4,,4,2,,,,,,8,,2,,,1,,,,,1,1,,,2,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,31
302411,"San Luis Obispo County, CA, USA","California, USA","United States","35.13607669, -120.64120384",land,,2023-10-12,,1,,1,2.537,0.23983369862614,0,,,1,,1,1,4,,4,2,,,,,,7,,2,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,26
302824,"San Luis Obispo County, CA, USA","California, USA","United States","35.13591947, -120.64091096",land,inland,2023-10-19,,1,,1,4.134,0.21987699134246,0,,,1,,3,,9,,6,3,,,,,,,1,2,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,33
303559,"San Luis Obispo County, CA, USA","California, USA","United States","35.1360534, -120.64086417",land,inland,2023-10-26,,1,,1,0.247,0.19118603003145,0,,1,1,,,,2,,3,4,,,,,,3,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,19
Totals:,,,,,,,,,,,,,,,,71,192,323,292,486,89,482,376,2699,81,130,81,35,147,1425,127,200,80,157,3,0,56,4,28,146,39,96,22,57,18,19,14,30,65,35,267,348,15,31,8,31,3,8,2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
